,ticker,market_cap
0,14D,7873874.988240898
1,29M,383975210.5947647
2,T3D,1321978.0408050865
3,TGP,120091317.69626236
4,TCF,46242351.419734955
5,TOT,88745319.22590733
6,TDO,36682138.04123402
7,3PL,166473278.78396606
8,4DX,197854505.54966927
9,4DS,53583400.273552895
10,5EA,128113272.01644516
11,5GN,38719456.49977875
12,88E,27776400.625442028
13,8CO,5867208.242999792
14,8IH,3829769.8343979716
15,ABG,1085794480.3890533
16,ASK,2063137018.6872864
17,ABX,10830926.36782676
18,AKG,14587539.920955896
19,AX8,6946104.137922227
20,AX1,913802517.1315842
21,ACS,2937221.9775313437
22,ADC,4710831.62776804
23,ACQ,74815163.07741404
24,ACF,315702026.25666046
25,ACR,6957472.074462175
26,ACW,73074449.03802967
27,ATV,7744494.870035648
28,AIV,3017042.2051261067
29,ACU,16734346.115892172
30,ACE,128998722.34010696
31,ADH,385297571.7988014
32,1AD,3338939.9330232143
33,ADD,4386744.008526206
34,ADG,13492049.618429184
35,ADR,
36,AI1,53585325.87458038
37,ADY,13147399.386132717
38,AD1,7027536.445085764
39,ABY,76105911.39621353
40,AHL,55692626.433841705
41,ADT,2090329467.5006104
42,ADS,5434660.098132491
43,AVM,12588795.860233784
44,ANO,68597481.2923193
45,ABV,37804918.705523014
46,AHI,24777622.576158524
47,AV1,152131836.5995884
48,ADX,18087228.95239663
49,AER,5670964.961271286
50,AEI,10073466.207839549
51,AIS,198500468.34855366
52,AMX,20897931.88676238
53,AFL,10972271.75475061
54,AF3,
55,AFT,
56,AF4,
57,AF5,
58,A1G,118547550.4595623
59,AFP,257236810.22167206
60,AGL,6801472019.910645
61,AMN,40417542.89810443
62,AGR,41489560.832645416
63,AIM,120068047.51074314
64,A1M,240901114.61544037
65,APW,144686750.0
66,AGI,341845888.9421234
67,AIZ,1764014796.2957153
68,ART,159093891.69064713
69,AJL,8254380.359749913
70,AKO,12640340.760568142
71,AUQ,31320432.646214962
72,ALB,14512629.921361804
73,ALY,7068449.7620078325
74,ALC,147724500.9595394
75,AAI,12096509489.81836
76,ARN,72938549.49685574
77,AJX,10311780.18563354
78,AAL,114635201.7081976
79,1AI,10124339.800004244
80,AQI,22051717.830979347
81,AQX,5538800.391078889
82,ALK,1153323639.04953
83,AQZ,426520186.54948425
84,AXN,23226881.1032176
85,AGE,93031044.37775517
86,ALM,11104439.904523611
87,AII,1365793515.6726837
88,A4N,1006298060.8361511
89,ALQ,9378127883.911133
90,ALR,38670656.89531326
91,AZI,10915556.19300878
92,ATC,74100640.95497131
93,ATH,133230302.30207062
94,AIQ,51292278.150975704
95,AGH,19445741.22179532
96,ATT,3729219.756645441
97,ALV,5272154.920754731
98,AMA,439999218.51919556
99,3DA,395929504.0
100,AMO,17172864.682388306
101,AMH,350122846.7522049
102,AMC,33985426457.23633
103,ARR,217341696.88098907
104,AW1,28363684.997436047
105,AL3,150133776.0540619
106,AOV,1227686234.8194122
107,AMP,4747012320.0
108,ATX,99727782.49011135
109,AEL,702883957.5783691
110,ALD,6522325939.990997
111,AN1,3474240.1072382927
112,ANR,1495130.0461497158
113,ANX,6179656.1907455325
114,ASL,283392714.70069885
115,ADN,38166798.506905556
116,ATM,7118611138.866577
117,AF2,
118,ANN,4559321516.675842
119,ASN,145607692.09391212
120,AM5,3089117.978851676
121,ADO,62221899.38493633
122,AVR,206991142.11359024
123,AAU,12545350.119589567
124,AZY,365817737.0163231
125,ANZ,92138194037.37744
126,APA,11218614360.023438
127,AP2,
128,APC,2636396.814508915
129,AHX,99329228.26698875
130,AON,8356080.524892509
131,AO2,
132,AO3,
133,APX,235763673.33053207
134,AQN,34494722.760808945
135,ARU,480544329.2537384
136,ARB,2869130400.0
137,ARC,5648167.769394815
138,AM7,3286724.1014502943
139,AXE,73905718.07465172
140,AR9,69114210.65273094
141,ARL,84165198.05415916
142,ADV,10002799.776419997
143,ARF,1522799184.0327759
144,AGN,89277614.08120394
145,RGT,5269373.522555828
146,ARD,33261220.800647497
147,ALI,421331450.69503784
148,ARG,6970616109.390259
149,AGY,46191488.206855774
150,ARA,87665397.67765999
151,AA2,
152,ARI,34460957.94973755
153,ALL,43649714609.118164
154,AZL,43042482.172408104
155,AHK,12239729.6577394
156,A1N,145568243.679554
157,ARX,213810903.31554413
158,ALA,125262892.7291069
159,AMD,17555339.127607584
160,ARV,14328349.119736433
161,ATG,69479321.26039267
162,AYA,149307594.52342987
163,AAJ,2295587.014857173
164,AS1,79835258.63076782
165,AFA,3169592.2145475447
166,ASH,26635502.498399734
167,AZ9,27048295.644584656
168,ATB,
169,AS2,4462381.063820124
170,APZ,910067663.522049
171,ASP,15079049.902956963
172,AKM,111680137.63484955
173,ASR,8000400.251998603
174,ASV,29774478.694488525
175,AOH,13197689.928486943
176,AO1,2414980.2107053995
177,APL,6893087.845927477
178,AAR,242671613.43253326
179,ATR,134920456.17022705
180,ASE,9952193.971191287
181,ASX,12542001559.353516
182,AHN,13595759.73417902
183,A11,117834992.59944344
184,ALX,7718415593.691467
185,ATP,70246879.70985985
186,AT1,15753108.037456632
187,AMS,6075100.02421093
188,ATA,308978411.00413704
189,AUB,3905664500.0
190,AIA,11760859510.836548
191,CYB,16073595.912903547
192,ACP,19803400.295093656
193,AUA,3418745.890069753
194,AD8,552562800.3035431
195,AKP,
196,AUG,6118055.736631155
197,AKN,4128695.8438880444
198,AUK,9070080.078840256
199,AAM,30769051.258838654
200,AEE,150603758.62445545
201,AKA,12605000.187829137
202,AMI,330051134.7737961
203,AWJ,32546673.04573345
204,AUR,3336381.990983069
205,AZJ,5834335415.254028
206,1AE,12637138.314783573
207,A3D,13990970.619566202
208,AUE,173096029.49087524
209,AUN,50032000.7455349
210,AUC,256353628.24191284
211,AOA,2853020.039511174
212,ANV,
213,AQD,58484578.53951073
214,ABB,1318815409.458252
215,ASB,2922989224.100113
216,AUH,6050770.20739615
217,AHC,137062128.0
218,ANG,189261649.5583763
219,AYT,7392880.479142964
220,AGD,27553995.014897346
221,AR1,84897436.82239437
222,A8G,4110168.834569305
223,AN3,
224,AYM,4606449.817037821
225,AAC,867984479.930603
226,AAP,17324387.406796217
227,ABE,3643616.1730624735
228,ACL,551858721.2424164
229,XCL,
230,ACM,2874709.366054088
231,AHF,29732878.695418358
232,AEF,923238838.9396667
233,AFG,620060981.3509827
234,AFI,9203363378.838867
235,AGC,47470444.1317749
236,AUZ,11977070.70569253
237,AOK,3113339.9310622215
238,AQC,6304211.440617561
239,AR3,22299269.303783774
240,ASQ,4791620.26040256
241,ASM,130772654.88328743
242,AUI,1424507223.197937
243,AYU,
244,AOF,75625093.53950214
245,AVL,94981257.72533417
246,AVG,32287373.9395864
247,ATS,15816720.521484375
248,ASG,524311791.9046936
249,AVA,23528232.06925392
250,AVD,15712975.20250082
251,AVE,15867299.485338211
252,AEV,29810480.02415085
253,AVW,1878331.001977861
254,AVH,218816919.4805374
255,AVJ,372909265.3780823
256,AXL,14654135.802432895
257,AXI,9086979.636890173
258,AXP,6684680.509505272
259,BBN,228689407.07683563
260,BPP,19034449.49454689
261,BTI,
262,BM1,152999882.6909542
263,BMR,29160617.478738785
264,B01,
265,BOQ,5093734000.0
266,BMN,529939744.96899414
267,BAP,1330612191.769043
268,BGD,184204798.3932495
269,BSN,2456579.945091158
270,BAS,9286785.456890464
271,BMO,3307425.052749276
272,BRL,191980009.26072502
273,BM8,10322531.944066286
274,BMH,5418918.882637024
275,BMM,7862759.661525488
276,BDX,22690015.629172325
277,BCI,996190952.0778198
278,BPT,2885882316.1653137
279,BLX,839167537.4450684
280,BCN,136830990.4655218
281,BCC,10370628.24819839
282,BMT,74092292.69451141
283,BTL,340350989.7769089
284,B4P,96514442.11864471
285,BGA,1611376821.7903595
286,BRX,14687915.834494352
287,BFG,402533718.4705734
288,BVR,27797825.60250163
289,BGL,1321315307.5212402
290,BEN,7042914880.93396
291,BHD,4472172.177708149
292,BEL,1116542.4097053707
293,BNZ,248966633.6157322
294,BEO,18778163.986325264
295,BKY,238501402.4114914
296,BEZ,38465298.406475544
297,BFC,5991150.0040771365
298,BET,185851203.5259018
299,BBT,312783607.33509064
300,BWN,160991928.8598175
301,BHP,204054888010.58594
302,BRI,121255636.65540314
303,BIM,6407499.965280294
304,BGT,6711341.787633896
305,BIO,115819715.54027176
306,BIT,4147649.8272928
307,BXN,110406325.48745728
308,BDT,9527674.057751894
309,BIS,196885397.2377777
310,BKI,1509340613.768715
311,BCA,49864875.0
312,BC8,651000313.8894997
313,BDG,24600996.072411537
314,BKT,42715549.234874725
315,BSX,114899604.06826591
316,BWF,71085348.57064486
317,BLZ,7113840.465889275
318,BB1,55077090.3018713
319,XYZ,72078076736.5039
320,BLU,12956790.28793323
321,BNL,26943120.6397295
322,BCT,3616889.887439251
323,BSL,10408214719.540283
324,BS1,
325,BLG,25764300.224123
326,BMG,9288366.861670017
327,BBC,31471133.301138878
328,BOA,2467059.944856912
329,BML,48864899.16783571
330,BOD,
331,BOL,54066710.63838005
332,BOE,764289264.0953064
333,BTE,18282109.517835617
334,BOT,294169509.2892456
335,BOC,258222561.98596954
336,BUY,3903674.792746067
337,BCB,10775774.828190804
338,BP1,
339,BPH,10354955.698744297
340,BP8,1050990.065919347
